Length,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
13,12,0.0006489753723144531,8,0.012295961380004883
13,12,0.0006999969482421875,7,0.054388999938964844
15,12,0.0008680820465087891,8,2.35595703125
490,12,0.5950541496276855,8,0.7498319149017334
309,8,0.23583674430847168,6,0.0012500286102294922
13,12,0.00074005126953125,7,0.0106658935546875
380,12,0.36035799980163574,8,2.6148319244384766
7,6,0.0003638267517089844,6,0.00039505958557128906
327,10,0.26371216773986816,7,1.8405821323394775
27,8,0.0025510787963867188,6,0.0428769588470459
