d,Manhattan Distance,Manhattan Distance Time,Displaced Tiles,Displaced Tiles Time
16,43,0.006573915481567383,43,0.38930511474609375
16,59,0.011310100555419922,59,0.47799205780029297
16,43,0.0068018436431884766,43,0.45833802223205566
16,42,0.007061958312988281,42,0.136397123336792
16,178,0.06787300109863281,178,0.9285287857055664
16,27,0.0037262439727783203,27,0.38691282272338867
16,20,0.0025289058685302734,20,0.07240509986877441
16,11,0.0012710094451904297,11,0.004542827606201172
16,101,0.026643991470336914,101,0.7700259685516357
16,102,0.028192996978759766,102,0.7773878574371338
